town,page,url
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31136
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc31137
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc89133
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc89134
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc89135
fleurus,1,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbc89136
fleurus,1,https://immovlan.be/en/detail/cottage/for-sale/6222/brye/vbc90024
fleurus,1,https://immovlan.be/en/detail/mixed-building/for-sale/6220/fleurus/vbc87241
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc90954
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6220/fleurus/vbc90956
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6220/lambusart/vbc87970
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6220/lambusart/vbc87971
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6222/brye/vbc90025
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6222/brye/vbc90026
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vbc87239
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vbc87511
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vbc90953
fleurus,1,https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vwd13897
fleurus,1,https://immovlan.be/en/detail/studio/for-sale/6220/fleurus/vbc31117
